label,sms
ham,"Hey, how are you?"
spam,"Congratulations, you've won a lottery of $1,000,000!"
ham,"Are we meeting at 3 PM today?"
ham,"Let's go for a walk later."
spam,"You have a missed call from an unknown number, call now!"
ham,"Can you send me the report by 5 PM?"
ham,"Don't forget to bring the documents for the meeting."
spam,"Claim your free iPhone now by clicking the link below!"
ham,"I think we should reschedule the meeting."
ham,"Dinner at my place tomorrow, 7 PM?"
spam,"This is your final warning, account suspended!"
ham,"I saw a great movie last night, want to watch it?"
ham,"Check out this funny video I found!"
spam,"Your bank account has been compromised. Act now!"
ham,"I need to talk to you about something important."
ham,"Have you seen the new season of the show?"
spam,"Urgent! You must verify your identity now to avoid losing your account!"
ham,"What time is the flight tomorrow?"
ham,"Let's go for coffee in the afternoon."
spam,"Limited time offer! Buy one, get one free! Only today!"
ham,"Where did you leave my keys?"
ham,"It's been a while, how are you?"
spam,"Warning! You have an unclaimed package waiting for delivery!"
ham,"Can you share your thoughts on the new policy?"
ham,"Would you like to join me for lunch?"
spam,"This is not a scam! Claim your free vacation now!"
ham,"The weather looks great today, shall we go out?"
ham,"I think I've misplaced my wallet, have you seen it?"
spam,"Get rich quick! No investment required, just click here."
ham,"When is the next team meeting?"
ham,"Do you want to join the new yoga class this weekend?"
spam,"Your account has been suspended! Please verify your identity now!"
ham,"I was wondering if you have any updates on the project."
ham,"Let's go for a hike on Saturday."
spam,"Your computer has a virus! Click here to fix it!"
ham,"Can you help me with a quick task?"
ham,"I'm free this evening, what about you?"
spam,"This is not a phishing attempt, click the link to redeem your prize!"
ham,"The report is due by the end of the day."
ham,"I was thinking of ordering some pizza tonight."
spam,"Unlock amazing prizes! Act fast!"
ham,"Shall we meet tomorrow for lunch?"
ham,"What time do you want to leave for the event?"
spam,"Final warning! Your account will be permanently locked!"
ham,"Are you coming to the party this weekend?"
ham,"The presentation went well today."
spam,"Get free Netflix subscriptions today! Limited spots!"
ham,"I need to pick up my dry cleaning later."
ham,"Have you received the invitation for the conference?"
spam,"Congratulations! You are the lucky winner of a brand new iPhone!"
ham,"Let's catch up over the weekend."
ham,"Could you confirm if the meeting is still on?"
spam,"Don't miss out! Last chance to win amazing prizes!"
ham,"The movie starts at 7 PM, right?"
ham,"I need a quick answer for the survey, please."
spam,"Your warranty is expiring! Renew now!"
ham,"How is your project going?"
ham,"I found your jacket at the office."
spam,"Hurry! Limited slots available for an exclusive offer!"
ham,"I'm heading to the gym now, want to join?"
ham,"What do you think about the new proposal?"
spam,"Special limited-time offer! Buy now and save big!"
ham,"Do you have any plans for the weekend?"
ham,"Did you get the chance to read the email?"
spam,"You owe a debt! Pay now to avoid further actions!"
ham,"I think we should organize a team lunch."
ham,"Would you be interested in attending a webinar tomorrow?"
spam,"Click here to verify your account and claim your prize!"
ham,"Are you available for a call this afternoon?"
ham,"I just finished reading that book you recommended."
spam,"You have a special offer waiting for you! Don't miss out!"
ham,"How was your trip?"
ham,"I need to borrow your laptop for a quick task."
spam,"Your prize awaits you! Click here to claim it now!"
ham,"Let's plan a day out soon."
ham,"I'll email you the details."
spam,"Congratulations! You've been selected to win a $500 gift card!"
ham,"Did you get the chance to review the document?"
ham,"I'm going to grab a quick bite, want to join?"
spam,"Your account has been compromised! Take action immediately!"
ham,"Are you still interested in the project?"
ham,"Don't forget to bring your laptop for the meeting."
spam,"You are eligible for a free consultation! Book now!"
ham,"What time is your flight tomorrow?"
ham,"I need help with a few tasks at work."
spam,"Claim your free subscription to an exclusive service now!"
ham,"Would you like to join us for dinner this weekend?"
ham,"When are you available for a quick chat?"
spam,"Your online account has been compromised. Click here to resolve it!"
ham,"The conference starts next Monday."
ham,"Let's have a quick meeting this afternoon."
spam,"Your credit card has been blocked! Click here to unlock it!"
ham,"How did the meeting go yesterday?"
ham,"Can you update me on the status of the report?"
spam,"Limited-time offer! Get an exclusive deal only today!"
ham,"Are you free for a coffee this afternoon?"
ham,"I found some great music online, want to listen?"
spam,"Exclusive offer! Claim your free gift today!"
ham,"Do you want to catch a movie this weekend?"
ham,"Have you had a chance to go through the new project?"
spam,"Urgent action required! Verify your account to prevent lockdown!"
ham,"What time do we meet tomorrow?"
ham,"I was wondering if you wanted to collaborate on this."
spam,"Huge discount only for today! Don't miss out!"
ham,"Let's go for a run tomorrow morning."
ham,"Can you recommend a good book to read?"
spam,"Final warning! You have 24 hours to claim your prize!"
ham,"What are your thoughts on the proposal?"
ham,"Can you help me with my assignment?"
spam,"Your bank account is at risk! Take action immediately!"
ham,"Let's schedule a call for tomorrow morning."
ham,"Have you finished your homework?"
spam,"Get your free consultation now! Limited time!"
ham,"Are you coming to the party this weekend?"
ham,"Do you want to join us for a team outing?"
spam,"Click here to unlock amazing rewards today!"
ham,"What time should we meet for lunch?"
ham,"Let me know if you need any help with the project."
spam,"Exclusive offer just for you! Claim your reward now!"
ham,"Let's plan something fun this weekend."
ham,"The meeting was really productive today."
spam,"Limited time offer! Act fast before it's too late!"
ham,"How are you doing today?"
ham,"Can you please send me the presentation file?"
spam,"You have an important message! Click here to read it."
ham,"I saw your email, I'll get back to you soon."
ham,"Let's go out for a coffee soon."
spam,"You have a package waiting for pickup. Claim it now!"
ham,"When do you want to meet for lunch?"
ham,"I will be available for a meeting tomorrow afternoon."
spam,"Exclusive offer! Click here to get a free gift!"
ham,"Did you get the new design for the website?"
ham,"Let's meet for dinner this weekend."
spam,"Last chance! You must click here to claim your prize!"
ham,"The team meeting was rescheduled."
ham,"Have you checked the status of the shipment?"
spam,"Click here to unlock your free vacation!"
ham,"I hope everything is going well with the project."
ham,"Shall we go for a walk later?"
spam,"Hurry! Act now to unlock huge discounts!"
ham,"How's everything going with the client?"
ham,"Have you seen the latest episode of the show?"
spam,"Congratulations! You've won a brand new car!"
ham,"When is the next meeting scheduled?"
ham,"Can you update me on the latest progress?"
spam,"Click here for your free trial today!"
ham,"Would you like to join me for a workout session?"
